numero_commande;transporteur;lien_tracking;date_prevue;statut_brut;statut_normalise;jours_retard;date_extraction
SAMA26012;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SAMA26012;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:32
FR26133;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07218848;;Livré;Livré;0;2026-07-17 18:32
FR26131;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26131;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:33
SAMA26015;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SAMA26015;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:33
FR26136;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26136;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:34
FR26134;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07218861;;;À vérifier;0;2026-07-17 18:34
FR26138;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26138;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:34
FR26132;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=iawS8jsGqfh9REavH;;Livré;Livré;0;2026-07-17 18:34
FR26141;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26141;;[ERREUR: Error];En cours;0;2026-07-17 18:35
SA26028;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07221502;;;À vérifier;0;2026-07-17 18:35
FR26146;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26146;;[ERREUR: Error];En cours;0;2026-07-17 18:35
FR26143;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26143;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:36
FR26137;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=oyIVOx9y8L1Mo1Zh0;;Livré;Livré;0;2026-07-17 18:36
FR26140;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26140;;[ERREUR: Error];En cours;0;2026-07-17 18:36
FR26144;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07223724;;;À vérifier;0;2026-07-17 18:36
SA26027;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07221499;;;À vérifier;0;2026-07-17 18:36
SAMA26013b;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SAMA26013b;;[ERREUR: Error];En cours;0;2026-07-17 18:37
SAMA26016;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SAMA26016;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:37
SAMA26017;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SAMA26017;;[ERREUR: Error];En cours;0;2026-07-17 18:37
FR26135;HEP;https://myportal.heppner-group.com/tracking/RlIyNjEzNSYzMzAwMCZGUg%3D%3D;;livré;Livré;0;2026-07-17 18:37
FR26147;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=M7ozz1ZHnGJSCn5xk;;Livré;Livré;0;2026-07-17 18:38
FR26145b;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=HQbtbhIiaisLUi2xX;;Livré;Livré;0;2026-07-17 18:38
FR26156;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26156;;[ERREUR: Error];En cours;0;2026-07-17 18:38
SAMA26014b;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SAMA26014b;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:38
FR26142;HEP;https://myportal.heppner-group.com/tracking/RlIyNjE0MiYzMzgwMCZGUg%3D%3D;;livré;Livré;0;2026-07-17 18:38
FR26152;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26152;;[ERREUR: Error];En cours;0;2026-07-17 18:38
FR26151;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26151;;[ERREUR: Error];En cours;0;2026-07-17 18:39
EX26023;AMC;;;;À vérifier;0;2026-07-17 18:39
SAMA26018b;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SAMA26018b;;[ERREUR: Error];En cours;0;2026-07-17 18:39
FR26153;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26153;;[ERREUR: Error];En cours;0;2026-07-17 18:39
FR26150;UPS;;;;À vérifier;0;2026-07-17 18:39
EX26022;AMC;;;;À vérifier;0;2026-07-17 18:39
FR26139;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07221399;;;À vérifier;0;2026-07-17 18:40
FR26149;UPS;;;;À vérifier;0;2026-07-17 18:40
FR26148;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26148;;[ERREUR: Error];En cours;0;2026-07-17 18:40
SA26031;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07236769;;;À vérifier;0;2026-07-17 18:40
FR26155;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26155;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:40
FR26166;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=IswHOLQyWQxRjbc3E;;Livré;Livré;0;2026-07-17 18:41
FR26154;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07229973;;;À vérifier;0;2026-07-17 18:41
SA26029;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07231796;;;À vérifier;0;2026-07-17 18:41
FR26158;JOY;;;;À vérifier;0;2026-07-17 18:41
FR26160;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07231798;;;À vérifier;0;2026-07-17 18:41
FR26170;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26170;;[ERREUR: Error];En cours;0;2026-07-17 18:41
FR26175;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26175;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:42
FR26176;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26176;;[ERREUR: Error];En cours;0;2026-07-17 18:42
SAMA26020;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SAMA26020;;[ERREUR: Error];En cours;0;2026-07-17 18:42
SA26030b;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=FDfK3xPtpZmPCpSs0;;Livré;Livré;0;2026-07-17 18:42
FR26163;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26163;;[ERREUR: TimeoutError];En cours;0;2026-07-17 18:43
FR26164;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26164;;[ERREUR: Error];En cours;0;2026-07-17 18:43
FR26167;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26167;;[ERREUR: Error];En cours;0;2026-07-17 18:43
FR26157b;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=PEWXbhcxO8ZvvIq7F;;Livré;Livré;0;2026-07-17 18:44
SA26034;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SA26034;;[ERREUR: Error];En cours;0;2026-07-17 18:44
SA26032;JOY;;;;À vérifier;0;2026-07-17 18:44
FR26178;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07242625;;;À vérifier;0;2026-07-17 18:44
FR26169;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26169;;[ERREUR: Error];En cours;0;2026-07-17 18:45
FR26162;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07236641;;Livré;Livré;0;2026-07-17 18:45
SA26033;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07239912;;;À vérifier;0;2026-07-17 18:45
FR26177;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=uL8id4AqlctwXU5sU;;Livré;Livré;0;2026-07-17 18:45
FR26168;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07239903;;;À vérifier;0;2026-07-17 18:45
FR26181;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26181;;[ERREUR: Error];En cours;0;2026-07-17 18:45
FR26179;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07242640;;;À vérifier;0;2026-07-17 18:45
FR26189;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=FR26189;;[ERREUR: Error];En cours;0;2026-07-17 18:45
FR26172;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07242647;;;À vérifier;0;2026-07-17 18:46
FR26173;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07242632;;;À vérifier;0;2026-07-17 18:46
FR26180;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=YGPgYibWQDcXWExkV;;Livré;Livré;0;2026-07-17 18:46
SA26035;JOY;https://eschenker.dbschenker.com/app/tracking-public/?language_region=fr-FR_FR&refType=WaybillNo&refNumber=07242658;;;À vérifier;0;2026-07-17 18:46
SA26039;SPD;https://www.speed-distribution.fr/veolog?code=3016612090015FBL&tn=SA26039;;[ERREUR: Error];En cours;0;2026-07-17 18:46
SA26038;VCV;http://vcv.teliway.com/suivicolis-0b31d1c81c2f29eaf6c8333d3f5ccaf8-VEO-FBL&sReference=liWjvLAye93goEMOq;;Livré;Livré;0;2026-07-17 18:46
